original;translation
Akumulatory i baterie;Batteries
Amortyzatory i elementy;Shock absorbers and parts
Atrapy chłodnicy;Front grilles
Belki zawieszenia;Axle beams and subframes
Benzyna;Petrol
Blok silnika;Engine block
Blokady kierownicy;Steering wheel locks
Boczki drzwi przód;Front door panels
Boczki drzwi tył;Rear door panels
Błotniki;Fenders
Błotniki przednie;Front fenders
Centralne zamki;Central locking
Chłodnice;Radiators
Chłodnice powietrza (intercooler);Intercoolers
Cięgna i linki;Cables and linkages
Czujniki;Sensors
Czujniki ciśnienia w kolektorze (map);Manifold pressure sensors (MAP)
Czujniki ciśnienia w oponach i programatory;TPMS sensors and programmers
Czujniki kąta skrętu;Steering angle sensors
Dachy;Roofs
Deski rodzielcze i konsole;Dashboards and consoles
Diesel;Diesel
Dmuchawy i elementy;Blowers and parts
Drzwi i elementy;Doors and parts
Drzwi i elementy przód;Front doors and parts
Drzwi i elementy tył;Rear doors and parts
Drążki stabilizatora;Stabilizer links
Dysze spryskiwaczy;Washer nozzles
Elementy karoserii;Body parts
Elementy mocujące;Mounting elements
Elementy napędu paska osprzętu;Belt drive components
Elementy podwozia;Chassis parts
Elementy silnika i układy;Engine parts and systems
Elementy wnętrza;Interior parts
Felgi aluminiowe;Alloy wheels
"Felgi aluminiowe 15""";"15"" Alloy wheels"
"Felgi aluminiowe 16""";"16"" Alloy wheels"
"Felgi aluminiowe 17""";"17"" Alloy wheels"
"Felgi aluminiowe 18""";"18"" Alloy wheels"
"Felgi aluminiowe 19""";"19"" Alloy wheels"
"Felgi aluminiowe 20""";"20"" Alloy wheels"
Felgi stalowe;Steel wheels
"Felgi stalowe 13""";"13"" Steel wheels"
"Felgi stalowe 14""";"14"" Steel wheels"
"Felgi stalowe 15""";"15"" Steel wheels"
"Felgi stalowe 16""";"16"" Steel wheels"
Filtry cząstek stałych dpf/fap;DPF/FAP filters
Filtry węglowe;Carbon filters
Fotele i kanapy;Seats and benches
Gałki i mieszki zmiany biegów;Gear knobs and gaiters
Gaźniki;Carburetors
Głowice cylindrów;Cylinder heads
Haki holownicze;Tow bars
Hamulce postojowe;Parking brakes
Holowanie;Towing
Inne;Other
Inne części;Other parts
Kabiny;Cabins
Kamery;Cameras
Katalizatory;Catalytic converters
